,rank,finalWorth,age,industries,selfMade,gender,birthDate,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
0,1,211000,74.0,Fashion & Retail,False,M,1949-03-05 00:00:00,1949.0,3.0,5.0,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
1,2,180000,51.0,Automotive,True,M,1971-06-28 00:00:00,1971.0,6.0,28.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
2,3,114000,59.0,Technology,True,M,1964-01-12 00:00:00,1964.0,1.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
3,4,107000,78.0,Technology,True,M,1944-08-17 00:00:00,1944.0,8.0,17.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
4,5,106000,92.0,Finance & Investments,True,M,1930-08-30 00:00:00,1930.0,8.0,30.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
5,6,104000,67.0,Technology,True,M,1955-10-28 00:00:00,1955.0,10.0,28.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
6,7,94500,81.0,Media & Entertainment,True,M,1942-02-14 00:00:00,1942.0,2.0,14.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
7,8,93000,83.0,Telecom,True,M,1940-01-28 00:00:00,1940.0,1.0,28.0,141.54,3.6,1258286717125,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
8,9,83400,65.0,Diversified,False,M,1957-04-19 00:00:00,1957.0,4.0,19.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
9,10,80700,67.0,Technology,True,M,1956-03-24 00:00:00,1956.0,3.0,24.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
10,11,80500,69.0,Fashion & Retail,False,F,1953-07-10 00:00:00,1953.0,7.0,10.0,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
11,12,79200,50.0,Technology,True,M,1973-03-26 00:00:00,1973.0,3.0,26.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
12,13,77300,87.0,Fashion & Retail,True,M,1936-03-28 00:00:00,1936.0,3.0,28.0,110.96,0.7,1394116310769,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
13,14,76000,49.0,Technology,True,M,1973-08-21 00:00:00,1973.0,8.0,21.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
14,15,68000,68.0,Food & Beverage,True,M,1954-12-01 00:00:00,1954.0,12.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
15,16,64400,38.0,Technology,True,M,1984-05-14 00:00:00,1984.0,5.0,14.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
16,17,59000,87.0,Diversified,False,M,1935-11-01 00:00:00,1935.0,11.0,1.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
17,17,59000,60.0,Diversified,False,F,1962-04-12 00:00:00,1962.0,4.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
18,19,58800,74.0,Fashion & Retail,False,M,1948-06-07 00:00:00,1948.0,6.0,7.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
