,rank,finalWorth,age,selfMade,is_male,birthDate,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
0,1,211000,74.0,False,True,-657280800.0,1949.0,3.0,5.0,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
1,2,180000,51.0,True,True,46879200.0,1971.0,6.0,28.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
2,3,114000,59.0,True,True,-188474400.0,1964.0,1.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
3,4,107000,78.0,True,True,-800791200.0,1944.0,8.0,17.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
4,5,106000,92.0,True,True,-1241517600.0,1930.0,8.0,30.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
5,6,104000,67.0,True,True,-447501600.0,1955.0,10.0,28.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
6,7,94500,81.0,True,True,-879847200.0,1942.0,2.0,14.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
7,8,93000,83.0,True,True,-944474400.0,1940.0,1.0,28.0,141.54,3.6,1258286717125,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
8,9,83400,65.0,False,True,-400932000.0,1957.0,4.0,19.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
9,10,80700,67.0,True,True,-434714400.0,1956.0,3.0,24.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
10,11,80500,69.0,False,False,-520077600.0,1953.0,7.0,10.0,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
11,12,79200,50.0,True,True,101916000.0,1973.0,3.0,26.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
12,13,77300,87.0,True,True,-1065520800.0,1936.0,3.0,28.0,110.96,0.7,1394116310769,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
13,14,76000,49.0,True,True,114703200.0,1973.0,8.0,21.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
14,15,68000,68.0,True,True,-476100000.0,1954.0,12.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
15,16,64400,38.0,True,True,453301200.0,1984.0,5.0,14.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
16,17,59000,87.0,False,True,-1078308000.0,1935.0,11.0,1.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
17,17,59000,60.0,False,False,-243770400.0,1962.0,4.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
18,19,58800,74.0,False,True,-680695200.0,1948.0,6.0,7.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
19,20,57600,78.0,False,True,-794656800.0,1944.0,10.0,27.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
20,21,56700,73.0,False,False,-638618400.0,1949.0,10.0,7.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
21,22,54400,65.0,False,True,-396266400.0,1957.0,6.0,12.0,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
22,23,50100,58.0,True,True,-153223200.0,1965.0,2.0,23.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
23,24,47200,60.0,True,True,-237463200.0,1962.0,6.0,24.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
24,25,45100,85.0,True,True,-1005213600.0,1938.0,2.0,24.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
25,26,45000,39.0,True,True,441727200.0,1984.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
26,27,42900,83.0,False,True,-955360800.0,1939.0,9.0,24.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
27,28,40100,86.0,True,True,-1052906400.0,1936.0,8.0,21.0,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
28,29,39100,85.0,False,True,-1028282400.0,1937.0,6.0,2.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
29,30,38900,58.0,False,True,-166615200.0,1964.0,9.0,21.0,117.11,1.4,529606710418,79.7,103.9,81.6,24.0,55.4,11484055.0,50.503887,4.469936
30,31,38300,83.0,False,False,-953978400.0,1939.0,10.0,10.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
31,31,38300,87.0,False,True,-1079776800.0,1935.0,10.0,15.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
33,34,35300,51.0,True,True,57506400.0,1971.0,10.0,29.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
34,35,35000,77.0,False,False,-764589600.0,1945.0,10.0,10.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
35,35,35000,54.0,True,True,-38311200.0,1968.0,10.0,15.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
