sample_name,estimator,true_value,my_lower_bound,my_upper_bound,scipy_lower_bound,scipy_upper_bound
uniform 100,loc,5.239818823771653,5.239818823771653,5.615289308299393,5.239818823771653,5.298762108785669
uniform 100,scale,9.520135400957685,9.006340397303783,9.520135400957685,9.461192115943668,9.520135400957685
uniform 100,p,9.783114037085369,9.26395268973911,10.317814113976269,9.284905379839733,10.305444493602424
uniform 100,std,2.591627818049669,2.348522872723732,2.836878036537461,2.3604207582609655,2.8709020203044378
bernoulli 100,loc,0.0,0.0,0.0,nan,nan
bernoulli 100,scale,1.0,1.0,1.0,nan,nan
bernoulli 100,p,0.79118,0.7,0.87,0.7,0.86
bernoulli 100,std,0.40667513047470394,0.3379976689896311,0.45604802157206864,0.348735088019777,0.4605661864718382
binominal 100,loc,8.0,8.0,9.0,nan,nan
binominal 100,scale,8.0,7.0,8.0,nan,nan
binominal 100,p,12.16546,11.84,12.53,11.83,12.51
binominal 100,std,1.7811923215814918,1.5274855545982708,2.010082539678432,1.576841913008621,2.0454782839096195
normal 100,loc,4.168524496414576,4.168524496414576,6.171055913188372,4.168524496414576,5.161833653642661
normal 100,scale,10.147774187699262,8.043153932121701,10.147774187699262,9.709432424386414,10.147774187699262
normal 100,p,9.772409467959562,9.387239525741098,10.19453224687273,9.370362478903674,10.199838426734834
normal 100,std,2.1317838545218235,1.8788410858717985,2.3807030641003193,1.9113414061335956,2.4551731263840018
uniform 1000,loc,5.007455220418979,5.007455220418979,5.042664341671594,5.007455220418979,5.01322534255666
uniform 1000,scale,9.981929192177956,9.927498665743315,9.981929192177956,9.976159070040275,9.981929192177956
uniform 1000,p,10.049512673778128,9.874689363058447,10.216353829081976,9.867350236054206,10.220520773399034
uniform 1000,std,2.842779099564785,2.7557813877998765,2.9167022789084815,2.7600159796821924,2.9200475054032125
bernoulli 1000,loc,0.0,0.0,0.0,nan,nan
bernoulli 1000,scale,1.0,1.0,1.0,nan,nan
bernoulli 1000,p,0.705303,0.676,0.733,0.677,0.733
bernoulli 1000,std,0.455809784272518,0.4436487829258238,0.46823417564637815,0.44261372200476,0.46785669802824226
binominal 1000,loc,5.0,5.0,6.0,nan,nan
binominal 1000,scale,13.0,12.0,13.0,nan,nan
binominal 1000,p,11.964433,11.836974999999999,12.094025,11.837,12.097
binominal 1000,std,2.1170447481934493,2.024599484256186,2.212488167099867,2.0311515098124753,2.214380766196991
normal 1000,loc,4.032059590236073,4.032059590236073,4.629782644400749,4.032059590236073,4.045749375430368
normal 1000,scale,13.372856884963646,11.378103293629643,13.372856884963646,13.359167099769351,13.372856884963646
normal 1000,p,10.03461927277207,9.91820035823381,10.160633267944448,9.909713307630692,10.156581390071166
normal 1000,std,2.0153065740098013,1.926501588295627,2.1044626747575363,1.9354592049109371,2.108842478943066
